IdSensore,Tipologia,Unità.DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,lng,lat,NomeProvincia
9310,Temperatura,°C,646,Como Villa Gallia,201,CO,01/01/1999,,N,9.06697886,45.81504217,Como
2449,Radiazione Globale,W/m²,133,Bema,958,SO,01/01/1993,,N,9.5693423,46.10552765,Sondrio
8004,Precipitazione,mm,857,Santa Margherita di Staffora Passo del Giovà,1363,PV,01/01/1998,,N,9.21663743,44.6837785,Pavia
9865,Radiazione Globale,W/m²,672,Cornale v.Libertà,74,PV,29/07/2005,,N,8.91415717,45.04008561,Pavia
4016,Precipitazione,mm,141,Vertemate con Minoprio serre,310,CO,04/02/2009,,N,9.0854885,45.71901089,Como
2098,Radiazione Globale,W/m²,107,Sondrio Fond.Fojanini,307,SO,05/03/2001,,N,9.85094015,46.16755337,Sondrio
14265,Umidità Relativa,%,1346,Campodolcino Alpe Motta,1880,SO,17/10/2012,,N,9.36883561,46.42312151,Sondrio
10377,Temperatura,°C,706,Lecco v.Sora,272,LC,22/07/2008,,N,9.39995481,45.86375372,Lecco
5877,Temperatura,°C,573,Colico v.La Madoneta,229,LC,06/11/1990,,N,9.38468725,46.1381409,Lecco
22322,Precipitazione,mm,1914,Trescore Balneario V. Cherio,251,BG,17/07/2023,,N,9.84904342074871,45.6904426407361,Bergamo
2190,Radiazione Globale,W/m²,114,Landriano Cascina Marianna,88,PV,29/09/2005,,N,9.26715311,45.32059361,Pavia
14348,Temperatura,°C,1359,Breno Lago Della Vacca,2410,BS,09/12/2012,,N,10.4427287,45.95749967,Brescia
2595,Temperatura,°C,205,Montevecchia cascina Butto,385,LC,06/10/2014,,N,9.38387611,45.70480511,Lecco
14197,Precipitazione,mm,1342,Ponte in Valtellina Lago Reguzzo,2440,SO,13/10/2012,,N,9.96999939,46.09651358,Sondrio
12,Temperatura,°C,3,Sondalo Le Prese,950,SO,24/11/1987,,N,10.35482014,46.35017631,Sondrio
7030,Umidità Relativa,%,687,Ferno v.Di Dio,215,VA,05/11/2006,,N,8.75697656,45.61924753,Varese
5861,Precipitazione,mm,586,Costa Volpino v.Nazionale,192,BG,01/01/1992,,N,10.09707131,45.82716061,Bergamo
17474,Radiazione Globale,W/m²,1382,Veddasca Monte Cadrigna,1302,VA,27/09/2018,,N,8.76881513,46.07182708,Varese
8018,Precipitazione,mm,836,Aprica,1950,SO,01/01/1992,,N,10.14826598,46.12968795,Sondrio
8230,Precipitazione,mm,900,Chiari,140,BS,20/06/2003,,N,9.93777821,45.52222206,Brescia
9043,Altezza Neve,cm,1237,Monno,1728,BS,15/10/2004,,N,10.308807,46.25030272,Brescia
6796,Umidità Relativa,%,653,Brescia v.Ziziola,125,BS,18/11/2003,,N,10.21846492,45.51456611,Brescia
8028,Altezza Neve,cm,848,Livigno La Vallaccia,2660,SO,13/09/1993,,N,10.18873661,46.47730866,Sondrio
14058,Temperatura,°C,1324,Limone sul Garda,75,BS,13/03/2012,,N,10.79005556,45.80683333,Brescia
14019,Radiazione Globale,W/m²,1077,Oltre il Colle Zambla,1138,BG,13/01/2012,,N,9.78893967,45.89119304,Bergamo
17464,Radiazione Globale,W/m²,58,Carona Lago Fregabolgia,1955,BG,21/10/2018,,N,9.86305936,46.02444861,Bergamo
2433,Temperatura,°C,132,Bergamo v.Stezzano,211,BG,01/01/1993,,N,9.65876847,45.66051928,Bergamo
8585,Umidità Relativa,%,999,Laveno-Mombello Poggio S.Elsa,950,VA,23/06/1999,,N,8.63818571,45.91099372,Varese
2251,Precipitazione,mm,117,Edolo Ist.Meneghini,699,BS,02/04/1993,,N,10.33339293,46.17572375,Brescia
14038,Radiazione Globale,W/m²,836,Aprica,1950,SO,27/02/2012,,N,10.14826598,46.12968795,Sondrio
14282,Radiazione Globale,W/m²,1347,Barzio Piani di Bobbio,1713,LC,14/10/2012,,N,9.50113918,45.95949713,Lecco
2271,Umidità Relativa,%,119,San Giovanni Bianco Cornalita,622,BG,07/09/2001,,N,9.63912077,45.86969697,Bergamo
