IdSensore,Data,Valore,Stato
5876,2023-07-15,0,VA
5876,2023-07-16,0,VA
5876,2023-07-17,0,VA
5876,2023-07-18,1.6,VA
5876,2023-07-19,0,VA
5876,2023-07-20,0,VA
5876,2023-07-21,16.8,VA
5876,2023-07-22,0,VA
5876,2023-07-23,12.4,VA
5876,2023-07-24,31,VA
5876,2023-07-25,17.4,VA
5876,2023-07-26,0,VA
5876,2023-07-27,0,VA
5876,2023-07-28,0,VA
5876,2023-07-29,0,VA
5876,2023-07-30,0,VA
5876,2023-07-31,0,VA
5876,2023-08-01,6.6,VA
5876,2023-08-02,0.6,VA
5876,2023-08-03,0,VA
5876,2023-08-04,6.8,VA
5876,2023-08-05,0,VA
5876,2023-08-06,0,VA
5876,2023-08-07,0,VA
5876,2023-08-08,0,VA
5876,2023-08-09,0,VA
5876,2023-08-10,0,VA
5876,2023-08-11,0,VA
5876,2023-08-12,0.4,VA
5876,2023-08-13,0,VA
5876,2023-08-14,1.2,VA
5876,2023-08-15,0,VA
5876,2023-08-16,6.6,VA
5876,2023-08-17,0.6,VA
5876,2023-08-18,0,VA
5876,2023-08-19,0,VA
5876,2023-08-20,0,VA
5876,2023-08-21,0,VA
5876,2023-08-22,0,VA
5876,2023-08-23,0,VA
5876,2023-08-24,0,VA
5876,2023-08-25,0,VA
5876,2023-08-26,3.8,VA
5876,2023-08-27,64.8,VA
5876,2023-08-28,56.8,VA
5876,2023-08-29,0.2,VA
5876,2023-08-30,0,VA
5876,2023-09-08,0,VA
5876,2023-09-09,0,VA
5876,2023-09-10,0,VA
5876,2023-09-11,0,VA
5876,2023-09-12,0,VA
5876,2023-09-13,52.6,VA
5876,2023-09-14,0,VA
5876,2023-09-15,7,VA
5876,2023-09-16,1.2,VA
5876,2023-09-17,0.2,VA
5876,2023-09-18,51.8,VA
5876,2023-09-19,0.2,VA
5876,2023-09-20,4.6,VA
5876,2023-09-21,7,VA
5876,2023-09-22,41,VA
5876,2023-09-23,9.2,VA
5876,2023-09-24,0,VA
5876,2023-09-25,0,VA
5876,2023-09-26,0,VA
5876,2023-09-27,0,VA
5876,2023-09-28,0,VA
5876,2023-09-29,0,VA
5876,2023-09-30,0,VA
5876,2023-10-01,0,VA
5876,2023-10-02,0,VA
5876,2023-10-03,0,VA
5876,2023-10-04,0,VA
5876,2023-10-05,0,VA
5876,2023-10-06,0,VA
5876,2023-10-07,0,VA
5876,2023-10-08,0,VA
5876,2023-10-09,0,VA
5876,2023-10-10,0,VA
5876,2023-10-11,0,VA
5876,2023-10-12,0,VA
5876,2023-10-13,0,VA
5876,2023-10-14,0,VA
5876,2023-10-15,0,VA
5876,2023-10-16,0,VA
5876,2023-10-17,0,VA
5876,2023-10-18,0,VA
5876,2023-10-19,21.6,VA
5876,2023-10-20,65.8,VA
5876,2023-10-21,26.6,VA
5876,2023-10-22,0,VA
5876,2023-10-23,2.8,VA
5876,2023-10-24,34,VA
5876,2023-10-25,0,VA
5876,2023-10-26,13.4,VA
5876,2023-10-27,18.8,VA
5876,2023-10-28,0,VA
5876,2023-10-29,7.6,VA
5876,2023-10-30,53.6,VA
5876,2023-10-31,24.2,VA
5876,2023-11-01,3,VA
5876,2023-11-02,49.8,VA
5876,2023-11-03,3.6,VA
5876,2023-11-04,8,VA
5876,2023-11-05,1.4,VA
5876,2023-11-06,5.6,VA
5876,2023-11-07,14.2,VA
5876,2023-11-08,0,VA
5876,2023-11-09,3.2,VA
5876,2023-11-10,0,VA
5876,2023-11-11,0,VA
5876,2023-11-12,0,VA
5876,2023-11-13,0,VA
5876,2023-11-14,0,VA
5876,2023-11-15,0,VA
5876,2023-11-16,0,VA
5876,2023-11-17,0,VA
5876,2023-11-18,0,VA
5876,2023-11-19,0,VA
5876,2023-11-20,0,VA
5876,2023-11-21,0,VA
5876,2023-11-22,0,VA
5876,2023-11-23,0,VA
5876,2023-11-24,0,VA
5876,2023-11-25,0,VA
5876,2023-11-26,0,VA
5876,2023-11-27,0,VA
5876,2023-11-28,0,VA
5876,2023-11-29,0,VA
5876,2023-11-30,0,VA
5876,2023-12-01,30.4,VA
5876,2023-12-02,24.8,VA
5876,2023-12-03,0,VA
5876,2023-12-04,0,VA
5876,2023-12-05,0,VA
5876,2023-12-06,0,VA
5876,2023-12-07,0,VA
5876,2023-12-08,0,VA
5876,2023-12-09,0,VA
5876,2023-12-10,0,VA
5876,2023-12-11,0,VA
5876,2023-12-12,0.2,VA
5876,2023-12-13,2,VA
5876,2023-12-14,0,VA
5876,2023-12-15,0,VA
5876,2023-12-16,0,VA
5876,2023-12-17,0,VA
5876,2023-12-18,0,VA
5876,2023-12-19,0,VA
5876,2023-12-20,0,VA
5876,2023-12-21,0,VA
5876,2023-12-22,0,VA
5876,2023-12-23,0,VA
5876,2023-12-24,0,VA
5876,2023-12-25,0,VA
5876,2023-12-26,0,VA
5876,2023-12-27,0,VA
5876,2023-12-28,0,VA
5876,2023-12-29,0,VA
5876,2023-12-30,0,VA
5876,2023-12-31,6.4,VA
5876,2024-01-01,0.2,VA
5876,2024-01-02,0,VA
5876,2024-01-03,0,VA
5876,2024-01-04,0,VA
5876,2024-01-05,18.8,VA
5876,2024-01-06,2.8,VA
5876,2024-01-07,0,VA
5876,2024-01-08,0,VA
5876,2024-01-09,0,VA
5876,2024-01-10,0,VA
5876,2024-01-11,0,VA
5876,2024-01-12,0,VA
5876,2024-01-13,0,VA
5876,2024-01-14,0,VA
5876,2024-01-15,0,VA
5876,2024-01-16,0,VA
5876,2024-01-17,2.2,VA
5876,2024-01-18,2.8,VA
5876,2024-01-19,0,VA
5876,2024-01-20,0,VA
5876,2024-01-21,0,VA
5876,2024-01-22,0,VA
5876,2024-01-23,0,VA
5876,2024-01-24,0,VA
5876,2024-01-25,0,VA
5876,2024-01-26,0,VA
5876,2024-01-27,0,VA
5876,2024-01-28,0,VA
5876,2024-01-29,0,VA
5876,2024-01-30,0,VA
5876,2024-01-31,0,VA
5876,2024-02-01,0,VA
5876,2024-02-02,0,VA
5876,2024-02-03,0,VA
5876,2024-02-04,0,VA
5876,2024-02-05,0,VA
5876,2024-02-06,0,VA
5876,2024-02-07,0,VA
