IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,Location
17600,Precipitazione,mm,1889,Val Masino Merdarola,2280,SO,01/08/2019,,N,5119691,544851,9.58163635,46.22931619,POINT (9.58163635 46.22931619)
19382,Velocità Vento,m/s,1651,Morbegno eliporto,230,SO,23/09/2016,,N,5109394,545135,9.58432198,46.13664246,POINT (9.58432198 46.13664246)
6729,Velocità Vento,m/s,644,Vigevano v.Petrarca,107,PV,24/01/2004,09/10/2013,S,5019220,489053,8.86031156,45.32640825,POINT (8.86031156 45.32640825)
19307,Temperatura,°C,1518,Dubino La Piazza,993,SO,21/11/2014,,N,5112733,535367,9.45812983,46.16725553,POINT (9.45812983 46.16725553)
4014,Direzione Vento,°,141,Vertemate con Minoprio serre,310,CO,25/05/2002,,N,5062832,506653,9.0854885,45.71901089,POINT (9.0854885 45.71901089)
8147,Livello Idrometrico,cm,882,Montodine ponte,63,CR,06/07/2000,,N,5014643,555776,9.71119619,45.28307558,POINT (9.71119619 45.28307558)
24416,Precipitazione,mm,1974,Grone San Fermo,1246,BG,30/08/2020,,N,5066048,572800,9.93587297,45.74415628,POINT (9.93587297 45.74415628)
11741,Velocità Vento,m/s,114,Landriano Cascina Marianna,88,PV,29/09/2005,,N,5018600,520938,9.26715311,45.32059361,POINT (9.26715311 45.32059361)
2383,Direzione Vento,°,127,Casatenovo tetto,360,LC,10/11/2003,,N,5060979,524066,9.30914481,45.70194614,POINT (9.30914481 45.70194614)
9816,Precipitazione,mm,671,Mantova Tridolino,22,MN,30/12/2004,01/02/2024,S,5001664,646147,10.859272,45.153328,POINT (10.859272 45.153328)
30533,Precipitazione,mm,1510,Monza v.Monte Generoso,173,MB,26/09/2014,,N,5048372,519174,9.24580749,45.58862553,POINT (9.24580749 45.58862553)
6469,Radiazione Globale,W/m²,569,Sondrio v.Mazzini,307,SO,06/06/1996,24/06/2010,S,5113078,567173,9.87014581,46.16797103,POINT (9.87014581 46.16797103)
116,Precipitazione,mm,58,Carona Lago Fregabolgia,1955,BG,01/01/2002,,N,5097125,566799,9.86305936,46.02444861,POINT (9.86305936 46.02444861)
4042,Temperatura,°C,145,Darfo Boario Terme,222,BS,04/12/2002,18/07/2023,S,5080789,591371,10.1773568,45.8746021,POINT (10.1773568 45.8746021)
14627,Umidità Relativa,%,1206,Cavaria con Premezzo v. Cantalupa,274,VA,10/04/2013,,N,5059567,485026,8.80769797,45.68949617,POINT (8.80769797 45.68949617)
2611,Direzione Vento,°,212,Canzo,1233,CO,26/11/2008,,N,5077224,524701,9.31813681,45.84814356,POINT (9.31813681 45.84814356)
8027,Temperatura,°C,848,Livigno La Vallaccia,2660,SO,11/09/1993,,N,5147768,591251,10.18873661,46.47730866,POINT (10.18873661 46.47730866)
11748,Velocità Vento,m/s,134,Corzano Bargnano,93,BS,03/05/1998,,N,5031659,581271,10.03902737,45.43372847,POINT (10.03902737 45.43372847)
14497,Livello Idrometrico,cm,1370,Gera Lario Ponte del Passo,205,CO,31/01/2013,05/12/2018,S,5113327,531293,0,0,POINT (0 0)
9,Precipitazione,mm,3,Sondalo Le Prese,950,SO,24/11/1987,,N,5133847,604242,10.35482014,46.35017631,POINT (10.35482014 46.35017631)
5903,Temperatura,°C,525,Corsico v.le Italia,119,MI,12/02/1997,,N,5031403,507619,9.09741197,45.43611269,POINT (9.09741197 45.43611269)
6048,Direzione Vento,°,501,Milano v.Marche,129,MI,17/11/1999,,N,5038105,514918,9.19093444,45.49631883,POINT (9.19093444 45.49631883)
2466,Direzione Vento,°,134,Corzano Bargnano,93,BS,03/05/1998,,N,5031659,581271,10.03902737,45.43372847,POINT (10.03902737 45.43372847)
5946,Precipitazione,mm,552,Varese v.Vidoletti,425,VA,24/05/1999,10/12/2018,S,5075945,484773,8.80393513,45.83690178,POINT (8.80393513 45.83690178)
8002,Temperatura,°C,855,Varzi v.Mazzini,485,PV,01/01/1998,19/09/2018,S,4963189,515657,9.19805102,44.82194363,POINT (9.19805102 44.82194363)
5990,Direzione Vento,°,584,Bergamo v.Garibaldi,249,BG,23/11/1994,14/04/2010,S,5060449,551482,9.66126061,45.69568669,POINT (9.66126061 45.69568669)
9741,Direzione Vento,°,900,Chiari,140,BS,19/05/2004,,N,5041392,573236,9.93777821,45.52222206,POINT (9.93777821 45.52222206)
14251,Direzione Vento,°,1346,Campodolcino Alpe Motta,1880,SO,17/10/2012,,N,5141127,528341,9.36883561,46.42312151,POINT (9.36883561 46.42312151)
19419,Radiazione Globale,W/m²,1656,Casalmaggiore campo sportivo,26,CR,28/03/2017,,N,4983484,611536,10.415068,44.996044,POINT (10.415068 44.996044)
2461,Radiazione Globale,W/m²,134,Corzano Bargnano,93,BS,12/09/2003,,N,5031659,581271,10.03902737,45.43372847,POINT (10.03902737 45.43372847)
6017,Direzione Vento,°,635,Tavazzano con Villavesco Enel,80,LO,13/01/2000,03/08/2015,S,5020197,533382,9.42603242,45.33449008,POINT (9.42603242 45.33449008)
9331,Velocità Vento,m/s,629,Crema v.XI febbraio,79,CR,20/01/2004,,N,5023885,555127,9.70395139,45.36631075,POINT (9.70395139 45.36631075)
14148,Radiazione Globale,W/m²,1325,Collio Memmo,1069,BS,18/04/2012,,N,5073930,602209,10.31552778,45.81136111,POINT (10.31552778 45.81136111)
6433,Radiazione Globale,W/m²,582,Bergamo v.S.Giorgio,249,BG,01/01/1989,14/04/2010,S,5058641,552746,9.67729786,45.67931931,POINT (9.67729786 45.67931931)
18267,Livello Idrometrico,cm,1867,Pralboino SP64,44,BS,31/08/2018,,N,5013473,594870,10.20935956,45.26835251,POINT (10.20935956 45.26835251)
9039,Altezza Neve,cm,1215,Taleggio,763,BG,01/01/2004,10/11/2012,S,5082304,543960,9.56663314,45.89290225,POINT (9.56663314 45.89290225)
22003,Temperatura,°C,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,14/10/2019,,N,5067376,591417,10.17540709,45.75389593,POINT (10.17540709 45.75389593)
6029,Direzione Vento,°,620,Milano v.Brera,122,MI,18/11/1999,,N,5035365,514782,9.18911083,45.47165828,POINT (9.18911083 45.47165828)
14257,Temperatura,°C,1346,Campodolcino Alpe Motta,1880,SO,17/10/2012,,N,5141127,528341,9.36883561,46.42312151,POINT (9.36883561 46.42312151)
8209,Temperatura,°C,910,Manerbio v.Dante,60,BS,09/04/2003,,N,5023554,589720,10.14555158,45.35975344,POINT (10.14555158 45.35975344)
14237,Velocità Vento,m/s,1345,Piazzatorre,966,BG,13/10/2012,,N,5093546,553689,9.69328479,45.99338359,POINT (9.69328479 45.99338359)
14001,Umidità Relativa,%,1077,Oltre il Colle Zambla,1138,BG,13/01/2012,,N,5082261,561209,9.78893967,45.89119304,POINT (9.78893967 45.89119304)
10662,Direzione Vento,°,1898,Valganna Mondonico,665,VA,18/05/2020,,N,5084612,485317,8.8106663,45.91491984,POINT (8.8106663 45.91491984)
17592,Altezza Neve,cm,1889,Val Masino Merdarola,2280,SO,21/12/2007,,N,5119691,544851,9.58163635,46.22931619,POINT (9.58163635 46.22931619)
17477,Radiazione Globale,W/m²,857,Santa Margherita di Staffora Passo del Giovà,1363,PV,28/09/2018,,N,4947846,517168,9.21663743,44.6837785,POINT (9.21663743 44.6837785)
211,Velocità Vento,m/s,16,Valfurva Ghiacciaio dei Forni,2180,SO,01/01/2011,,N,5141977,619522,10.55541386,46.42078875,POINT (10.55541386 46.42078875)
5916,Precipitazione,mm,614,Rodano v.Turati,112,MI,01/01/1999,,N,5035511,527631,9.35349644,45.47258192,POINT (9.35349644 45.47258192)
17528,Radiazione Globale,W/m²,1555,Manerba del Garda Dusano,73,BS,21/10/2018,,N,5044545,622300,10.56663509,45.543701,POINT (10.56663509 45.543701)
2486,Umidità Relativa,%,136,Persico Dosimo,44,CR,01/01/1993,,N,5003424,582100,10.0449444,45.17951839,POINT (10.0449444 45.17951839)
17556,Livello Idrometrico,cm,1878,Calcinato Ponte Santa Maria,125,BS,15/11/2018,,N,5034552,609726,10.40336666,45.45587333,POINT (10.40336666 45.45587333)
6850,Umidità Relativa,%,659,Odolo v.Praes,349,BS,01/01/1999,,N,5055661,608260,10.38929672,45.64605175,POINT (10.38929672 45.64605175)
9019,Temperatura,°C,1201,Canevino,455,PV,01/01/2004,,N,4975743,521751,9.275674,44.93479528,POINT (9.275674 44.93479528)
19026,Precipitazione,mm,1422,Bergamo v.Maffei,249,BG,01/10/2013,,N,5060404,552526,9.67466286,45.69520255,POINT (9.67466286 45.69520255)
